0.000000 	 -nan 	 -nan 
50000000000.000000 	 0.349364 	 8.390331 
100000000000.000000 	 0.314794 	 15.120206 
150000000000.000000 	 0.292490 	 21.073362 
200000000000.000000 	 0.276088 	 26.522113 
250000000000.000000 	 0.263189 	 31.603733 
300000000000.000000 	 0.252611 	 36.400291 
350000000000.000000 	 0.243682 	 40.965905 
400000000000.000000 	 0.235981 	 45.338664 
450000000000.000000 	 0.229230 	 49.546672 
500000000000.000000 	 0.223232 	 53.611427 
550000000000.000000 	 0.217846 	 57.549848 
600000000000.000000 	 0.212967 	 61.375558 
650000000000.000000 	 0.208514 	 65.099745 
700000000000.000000 	 0.204422 	 68.731742 
750000000000.000000 	 0.200642 	 72.279446 
800000000000.000000 	 0.197133 	 75.749620 
850000000000.000000 	 0.193861 	 79.148114 
900000000000.000000 	 0.190799 	 82.480039 
950000000000.000000 	 0.187923 	 85.749895 
1000000000000.000000 	 0.185213 	 88.961673 
1050000000000.000000 	 0.182654 	 92.118938 
1100000000000.000000 	 0.180230 	 95.224892 
1150000000000.000000 	 0.177929 	 98.282425 
1200000000000.000000 	 0.175741 	 101.294160 
1250000000000.000000 	 0.173655 	 104.262490 
1300000000000.000000 	 0.171664 	 107.189604 
1350000000000.000000 	 0.169759 	 110.077512 
1400000000000.000000 	 0.167936 	 112.928068 
1450000000000.000000 	 0.166186 	 115.742988 
1500000000000.000000 	 0.164507 	 118.523862 
1550000000000.000000 	 0.162891 	 121.272168 
1600000000000.000000 	 0.161337 	 123.989287 
1650000000000.000000 	 0.159838 	 126.676509 
1700000000000.000000 	 0.158393 	 129.335040 
1750000000000.000000 	 0.156998 	 131.966015 
1800000000000.000000 	 0.155649 	 134.570500 
1850000000000.000000 	 0.154345 	 137.149501 
1900000000000.000000 	 0.153082 	 139.703965 
1950000000000.000000 	 0.151859 	 142.234789 
2000000000000.000000 	 0.150673 	 144.742821 
2050000000000.000000 	 0.149523 	 147.228868 
2100000000000.000000 	 0.148407 	 149.693692 
2150000000000.000000 	 0.147322 	 152.138019 
2200000000000.000000 	 0.146268 	 154.562542 
2250000000000.000000 	 0.145244 	 156.967918 
2300000000000.000000 	 0.144247 	 159.354777 
2350000000000.000000 	 0.143276 	 161.723716 
2400000000000.000000 	 0.142331 	 164.075310 
2450000000000.000000 	 0.141411 	 166.410108 
2500000000000.000000 	 0.140513 	 168.728633 
2550000000000.000000 	 0.139638 	 171.031389 
2600000000000.000000 	 0.138785 	 173.318859 
2650000000000.000000 	 0.137952 	 175.591505 
2700000000000.000000 	 0.137138 	 177.849772 
2750000000000.000000 	 0.136344 	 180.094089 
2800000000000.000000 	 0.135568 	 182.324865 
2850000000000.000000 	 0.134809 	 184.542496 
2900000000000.000000 	 0.134068 	 186.747364 
2950000000000.000000 	 0.133343 	 188.939835 
3000000000000.000000 	 0.132634 	 191.120264 
3050000000000.000000 	 0.131940 	 193.288992 
3100000000000.000000 	 0.131261 	 195.446348 
3150000000000.000000 	 0.130596 	 197.592650 
3200000000000.000000 	 0.129945 	 199.728206 
3250000000000.000000 	 0.129307 	 201.853313 
3300000000000.000000 	 0.128682 	 203.968258 
3350000000000.000000 	 0.128070 	 206.073319 
3400000000000.000000 	 0.127469 	 208.168764 
3450000000000.000000 	 0.126881 	 210.254855 
3500000000000.000000 	 0.126304 	 212.331844 
3550000000000.000000 	 0.125738 	 214.399974 
3600000000000.000000 	 0.125182 	 216.459483 
3650000000000.000000 	 0.124637 	 218.510600 
3700000000000.000000 	 0.124103 	 220.553548 
3750000000000.000000 	 0.123578 	 222.588544 
3800000000000.000000 	 0.123062 	 224.615796 
3850000000000.000000 	 0.122556 	 226.635508 
3900000000000.000000 	 0.122059 	 228.647879 
3950000000000.000000 	 0.121571 	 230.653101 
4000000000000.000000 	 0.121092 	 232.651359 
4050000000000.000000 	 0.120621 	 234.642837 
4100000000000.000000 	 0.120157 	 236.627709 
4150000000000.000000 	 0.119702 	 238.606148 
4200000000000.000000 	 0.119255 	 240.578320 
4250000000000.000000 	 0.118815 	 242.544389 
4300000000000.000000 	 0.118382 	 244.504511 
4350000000000.000000 	 0.117957 	 246.458842 
4400000000000.000000 	 0.117539 	 248.407530 
4450000000000.000000 	 0.117127 	 250.350722 
4500000000000.000000 	 0.116722 	 252.288560 
4550000000000.000000 	 0.116324 	 254.221182 
4600000000000.000000 	 0.115932 	 256.148724 
4650000000000.000000 	 0.115546 	 258.071316 
4700000000000.000000 	 0.115167 	 259.989087 
4750000000000.000000 	 0.114793 	 261.902162 
4800000000000.000000 	 0.114425 	 263.810663 
4850000000000.000000 	 0.114062 	 265.714709 
4900000000000.000000 	 0.113706 	 267.614416 
4950000000000.000000 	 0.113354 	 269.509897 
5000000000000.000000 	 0.113008 	 271.401263 
