0.000000 	 -nan 	 -nan
50000000000.000000 	 0.424664 	 10.198733
100000000000.000000 	 0.359142 	 17.250342
150000000000.000000 	 0.322657 	 23.246840
200000000000.000000 	 0.298083 	 28.635035
250000000000.000000 	 0.279899 	 33.610291
300000000000.000000 	 0.265652 	 38.279438
350000000000.000000 	 0.254048 	 42.708622
400000000000.000000 	 0.244328 	 46.942246
450000000000.000000 	 0.236009 	 51.011885
500000000000.000000 	 0.228768 	 54.940983
550000000000.000000 	 0.222380 	 58.747543
600000000000.000000 	 0.216681 	 62.445772
650000000000.000000 	 0.211548 	 66.047134
700000000000.000000 	 0.206889 	 69.561056
750000000000.000000 	 0.202630 	 72.995414
800000000000.000000 	 0.198713 	 76.356876
850000000000.000000 	 0.195093 	 79.651160
900000000000.000000 	 0.191731 	 82.883218
950000000000.000000 	 0.188596 	 86.057380
1000000000000.000000 	 0.185662 	 89.177460
1050000000000.000000 	 0.182907 	 92.246846
1100000000000.000000 	 0.180313 	 95.268567
1150000000000.000000 	 0.177862 	 98.245346
1200000000000.000000 	 0.175542 	 101.179644
1250000000000.000000 	 0.173340 	 104.073697
1300000000000.000000 	 0.171247 	 106.929546
1350000000000.000000 	 0.169253 	 109.749061
1400000000000.000000 	 0.167350 	 112.533963
1450000000000.000000 	 0.165530 	 115.285839
1500000000000.000000 	 0.163788 	 118.006160
1550000000000.000000 	 0.162118 	 120.696291
1600000000000.000000 	 0.160515 	 123.357504
1650000000000.000000 	 0.158973 	 125.990986
1700000000000.000000 	 0.157490 	 128.597849
1750000000000.000000 	 0.156061 	 131.179136
1800000000000.000000 	 0.154684 	 133.735826
1850000000000.000000 	 0.153354 	 136.268841
1900000000000.000000 	 0.152069 	 138.779054
1950000000000.000000 	 0.150826 	 141.267285
2000000000000.000000 	 0.149623 	 143.734315
2050000000000.000000 	 0.148459 	 146.180882
2100000000000.000000 	 0.147330 	 148.607686
2150000000000.000000 	 0.146235 	 151.015395
2200000000000.000000 	 0.145173 	 153.404641
2250000000000.000000 	 0.144141 	 155.776030
2300000000000.000000 	 0.143138 	 158.130139
2350000000000.000000 	 0.142164 	 160.467517
2400000000000.000000 	 0.141215 	 162.788692
2450000000000.000000 	 0.140293 	 165.094168
2500000000000.000000 	 0.139394 	 167.384426
2550000000000.000000 	 0.138519 	 169.659929
2600000000000.000000 	 0.137665 	 171.921122
2650000000000.000000 	 0.136834 	 174.168430
2700000000000.000000 	 0.136022 	 176.402262
2750000000000.000000 	 0.135230 	 178.623014
2800000000000.000000 	 0.134457 	 180.831063
2850000000000.000000 	 0.133702 	 183.026774
2900000000000.000000 	 0.132965 	 185.210499
2950000000000.000000 	 0.132244 	 187.382577
3000000000000.000000 	 0.131540 	 189.543335
3050000000000.000000 	 0.130851 	 191.693088
3100000000000.000000 	 0.130177 	 193.832141
3150000000000.000000 	 0.129517 	 195.960788
3200000000000.000000 	 0.128872 	 198.079314
3250000000000.000000 	 0.128240 	 200.187995
3300000000000.000000 	 0.127621 	 202.287095
3350000000000.000000 	 0.127015 	 204.376874
3400000000000.000000 	 0.126421 	 206.457581
3450000000000.000000 	 0.125840 	 208.529457
3500000000000.000000 	 0.125269 	 210.592738
3550000000000.000000 	 0.124710 	 212.647649
3600000000000.000000 	 0.124162 	 214.694412
3650000000000.000000 	 0.123624 	 216.733240
3700000000000.000000 	 0.123096 	 218.764341
3750000000000.000000 	 0.122578 	 220.787917
3800000000000.000000 	 0.122070 	 222.804162
3850000000000.000000 	 0.121571 	 224.813267
3900000000000.000000 	 0.121081 	 226.815417
3950000000000.000000 	 0.120600 	 228.810792
4000000000000.000000 	 0.120128 	 230.799565
4050000000000.000000 	 0.119664 	 232.781906
4100000000000.000000 	 0.119208 	 234.757982
4150000000000.000000 	 0.118760 	 236.727952
4200000000000.000000 	 0.118320 	 238.691973
4250000000000.000000 	 0.117887 	 240.650197
4300000000000.000000 	 0.117462 	 242.602773
4350000000000.000000 	 0.117043 	 244.549845
4400000000000.000000 	 0.116632 	 246.491553
4450000000000.000000 	 0.116228 	 248.428036
4500000000000.000000 	 0.115830 	 250.359426
4550000000000.000000 	 0.115438 	 252.285854
4600000000000.000000 	 0.115053 	 254.207447
4650000000000.000000 	 0.114674 	 256.124329
4700000000000.000000 	 0.114302 	 258.036621
4750000000000.000000 	 0.113935 	 259.944441
4800000000000.000000 	 0.113573 	 261.847903
4850000000000.000000 	 0.113218 	 263.747120
4900000000000.000000 	 0.112868 	 265.642202
4950000000000.000000 	 0.112523 	 267.533256
5000000000000.000000 	 0.112184 	 269.420385
